Trial,Species,Dosage Level,Tank,Standard length,Weight
Leaching,BLG,20 mg,2,152,70.57
Leaching,CAP,20 mg,3,103,10.69
Leaching,BLG,20 mg,3,89,12.07
Leaching,BLG,20 mg,3,93,14.36
Leaching,CAP,20 mg,3,123,24.39
Leaching,CAP,20 mg,3,123,26.22
Leaching,BLG,20 mg,3,107,26.24
Leaching,BLG,20 mg,3,105,27.71
Leaching,BLG,20 mg,3,112,31.08
Leaching,CAP,20 mg,3,127,31.98
Leaching,BLG,20 mg,3,136,55.6
Leaching,CAP,20 mg,3,175,72.71
Leaching,CAP,20 mg,3,,
Leaching,BLG,20 mg,4,90,14.28
Leaching,CAP,20 mg,4,106,15.47
Leaching,BLG,20 mg,4,94,15.5
Leaching,BLG,20 mg,4,100,19.9
Leaching,CAP,20 mg,4,113,21.23
Leaching,BLG,20 mg,4,102,21.54
Leaching,CAP,20 mg,4,120,23.82
Leaching,CAP,20 mg,4,122,25.01
Leaching,CAP,20 mg,4,122,26.69
Leaching,BLG,20 mg,4,106,26.96
Leaching,BLG,20 mg,4,112,27.9
Leaching,CAP,20 mg,4,148,43.49
Leaching,BLG,20 mg,5,88,13.03
Leaching,CAP,20 mg,5,110,17.49
Leaching,BLG,20 mg,5,100,17.95
Leaching,BLG,20 mg,5,98,18.39
Leaching,CAP,20 mg,5,110,19.3
Leaching,BLG,20 mg,5,105,21.55
Leaching,CAP,20 mg,5,112,22.34
Leaching,CAP,20 mg,5,123,23.57
Leaching,CAP,20 mg,5,122,25.68
Leaching,CAP,20 mg,5,124,26.25
Leaching,BLG,20 mg,5,114,30.81
Leaching,BLG,20 mg,5,117,37.01
Indoor,BLG,20 mg,4,82,16.31
Indoor,BLG,20 mg,4,88,21.94
Indoor,BLG,20 mg,4,91,26.26
Indoor,BLG,20 mg,4,111,42.18
Indoor,BLG,20 mg,4,120,55.35
Indoor,BLG,20 mg,4,123,61.1
Indoor,CAP,20 mg,4,54,5.14
Indoor,CAP,20 mg,4,75,13.06
Indoor,CAP,20 mg,4,76,13.43
Indoor,CAP,20 mg,4,76,13.56
Indoor,CAP,20 mg,4,78,13.72
Indoor,CAP,20 mg,4,78,14.33
Indoor,FHM,20 mg,4,45,2.06
Indoor,FHM,20 mg,4,50,2.65
Indoor,FHM,20 mg,4,59,5.47
Indoor,FHM,20 mg,4,66,8.3
Indoor,FHM,20 mg,4,72,9.67
Indoor,YEP,20 mg,4,52,2.29
Indoor,YEP,20 mg,4,53,2.47
Indoor,YEP,20 mg,4,56,2.72
Indoor,YEP,20 mg,4,56,2.94
Indoor,YEP,20 mg,4,60,3.55
Indoor,YEP,20 mg,4,60,4.14
Indoor,BLG,20 mg,5,94,28.21
Indoor,BLG,20 mg,5,100,32.22
Indoor,BLG,20 mg,5,104,35.07
Indoor,BLG,20 mg,5,103,37.08
Indoor,BLG,20 mg,5,111,48.95
Indoor,BLG,20 mg,5,122,66.39
Indoor,CAP,20 mg,5,65,8.74
Indoor,CAP,20 mg,5,71,11.08
Indoor,CAP,20 mg,5,68,12.01
Indoor,CAP,20 mg,5,78,13.96
Indoor,CAP,20 mg,5,74,13.99
Indoor,CAP,20 mg,5,80,15.63
Indoor,FHM,20 mg,5,45,1.8
Indoor,FHM,20 mg,5,48,2.28
Indoor,FHM,20 mg,5,49,2.43
Indoor,FHM,20 mg,5,56,3.58
Indoor,FHM,20 mg,5,67,6.2
Indoor,YEP,20 mg,5,56,2.7
Indoor,YEP,20 mg,5,55,2.89
Indoor,YEP,20 mg,5,57,3.1
Indoor,YEP,20 mg,5,57,3.25
Indoor,YEP,20 mg,5,59,3.41
Indoor,YEP,20 mg,5,61,3.98
Indoor,BLG,20 mg,6,84,18.63
Indoor,BLG,20 mg,6,88,22.72
Indoor,BLG,20 mg,6,91,27.58
Indoor,BLG,20 mg,6,101,34.03
Indoor,BLG,20 mg,6,115,53.56
Indoor,BLG,20 mg,6,114,54.41
Indoor,CAP,20 mg,6,67,9.5
Indoor,CAP,20 mg,6,71,11.04
Indoor,CAP,20 mg,6,73,12.08
Indoor,CAP,20 mg,6,75,13.09
Indoor,CAP,20 mg,6,76,13.18
Indoor,CAP,20 mg,6,79,13.53
Indoor,FHM,20 mg,6,49,2.7
Indoor,FHM,20 mg,6,50,2.8
Indoor,FHM,20 mg,6,56,3.39
Indoor,FHM,20 mg,6,55,4.28
Indoor,FHM,20 mg,6,61,6.08
Indoor,YEP,20 mg,6,47,1.87
Indoor,YEP,20 mg,6,52,2.14
Indoor,YEP,20 mg,6,51,2.45
Indoor,YEP,20 mg,6,57,2.68
Indoor,YEP,20 mg,6,54,2.69
Indoor,YEP,20 mg,6,60,3.78
Indoor,BLG,20 mg,8,83,18.94
Indoor,BLG,20 mg,8,85,19.51
Indoor,BLG,20 mg,8,93,23.4
Indoor,BLG,20 mg,8,94,29.95
Indoor,BLG,20 mg,8,95,28.06
Indoor,BLG,20 mg,8,101,35.33
Indoor,CAP,20 mg,8,70,10.95
Indoor,CAP,20 mg,8,72,12.48
Indoor,CAP,20 mg,8,80,15.32
Indoor,CAP,20 mg,8,81,15.95
Indoor,CAP,20 mg,8,88,22.65
Indoor,CAP,20 mg,8,93,24.59
Indoor,FHM,20 mg,8,49,2.06
Indoor,FHM,20 mg,8,51,2.68
Indoor,FHM,20 mg,8,53,2.53
Indoor,FHM,20 mg,8,54,4.37
Indoor,FHM,20 mg,8,55,3.06
Indoor,FHM,20 mg,8,59,3.85
Indoor,YEP,20 mg,8,51,1.89
Indoor,YEP,20 mg,8,57,3.03
Indoor,YEP,20 mg,8,60,3.49
Indoor,YEP,20 mg,8,63,4.53
Indoor,YEP,20 mg,8,68,5.69
Indoor,YEP,20 mg,8,70,6.28
Indoor,BLG,20 mg,9,75,15.36
Indoor,BLG,20 mg,9,79,17.05
Indoor,BLG,20 mg,9,85,20.99
Indoor,BLG,20 mg,9,87,20.89
Indoor,BLG,20 mg,9,115,60.17
Indoor,BLG,20 mg,9,116,75.66
Indoor,CAP,20 mg,9,83,16.9
Indoor,CAP,20 mg,9,92,21.89
Indoor,CAP,20 mg,9,101,27.1
Indoor,CAP,20 mg,9,109,38.87
Indoor,CAP,20 mg,9,115,43.4
Indoor,CAP,20 mg,9,126,52.18
Indoor,FHM,20 mg,9,47,2.03
Indoor,FHM,20 mg,9,50,2.37
Indoor,FHM,20 mg,9,54,3.2
